"District_Type";"Municipality_Name";"Area_Code";"Population_Total";"Pop_Age_0_15";"Pop_Age_15_25";"Pop_Age_25_45";"Pop_Age_45_65";"Pop_Age_65_Plus";"Avg_Household_Size";"Avg_Property_Value_1000EUR";"Pct_Unoccupied_Homes";"Pct_Owner_Occupied";"Pct_Rental";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min";"Urbanization_Level"
"Timorpleinbuurt-Zuid";"Amsterdam                               ";"BU0363MF02";4450;430;660;1990;940;425;1,7;445;4;29;71;;;;;;;;;1
"Ambonpleinbuurt";"Amsterdam                               ";"BU0363MF03";3855;490;475;1375;910;610;1,9;416;4;21;79;;;;;;;;;1
"Indische Buurt-Oost";"Amsterdam                               ";"WK0363MG  ";9900;1235;1215;3440;2405;1605;1,8;450;3;23;77;;;;;;;;;1
"Makassarpleinbuurt";"Amsterdam                               ";"BU0363MG01";5690;665;680;1930;1370;1045;1,8;431;3;19;81;;;;;;;;;1
"Zeeburgerdijk-Oost";"Amsterdam                               ";"BU0363MG02";435;45;40;130;140;80;2;651;3;57;43;;;;;;;;;1
"Sumatraplantsoenbuurt";"Amsterdam                               ";"BU0363MG03";3760;520;495;1370;895;475;1,9;460;3;24;76;;;;;;;;;1
"Flevopark";"Amsterdam                               ";"BU0363MG04";15;0;0;5;5;5;1,7;;;;;;;;;;;;;1
"Zeeburgereiland/Bovendiep";"Amsterdam                               ";"WK0363MH  ";5750;810;1255;2640;790;255;1,6;388;4;20;80;;;;;;;;;3
"Sluisbuurt";"Amsterdam                               ";"BU0363MH01";20;5;0;5;5;5;2,1;;;;;;;;;;;;;3
"Sportheldenbuurt";"Amsterdam                               ";"BU0363MH02";4595;780;585;2295;710;225;1,8;478;4;26;74;;;;;;;;;3
"Oostpunt Zeeburgereiland";"Amsterdam                               ";"BU0363MH03";5;0;5;0;0;0;2;;;;;;;;;;;;;3
"Baaibuurt-West";"Amsterdam                               ";"BU0363MH04";320;10;140;115;35;15;1,3;;10;1;99;;;;;;;;;2
"Baaibuurt-Oost";"Amsterdam                               ";"BU0363MH05";750;0;525;215;10;5;1,1;69;2;0;100;;;;;;;;;2
"Bovendiep/Diemerpark";"Amsterdam                               ";"BU0363MH06";65;10;10;10;25;15;2,1;;;;;;;;;;;;;3
"IJburg-West";"Amsterdam                               ";"WK0363MJ  ";16340;3010;2605;5035;4680;1015;2,3;604;3;43;57;;;;;;;;;2
"Steigereiland-Zuid";"Amsterdam                               ";"BU0363MJ01";2600;490;495;555;905;155;2,6;676;8;56;44;;;;;;;;;3
"Steigereiland-Noord";"Amsterdam                               ";"BU0363MJ02";2320;395;255;1080;510;85;2;481;3;30;70;;;;;;;;;3
"Rieteilanden-West";"Amsterdam                               ";"BU0363MJ03";2665;460;500;505;1000;200;2,6;917;3;66;34;;;;;;;;;2
"Joris Ivenspleinbuurt";"Amsterdam                               ";"BU0363MJ04";2935;485;455;1085;670;245;2;486;3;27;73;;;;;;;;;2
"Ed Pelsterparkbuurt";"Amsterdam                               ";"BU0363MJ05";5820;1185;895;1810;1595;335;2,4;578;2;45;55;;;;;;;;;2
"IJburg-Oost";"Amsterdam                               ";"WK0363MK  ";1130;250;115;505;210;40;2,2;639;5;68;32;;;;;;;;;3
"Buiteneiland";"Amsterdam                               ";"BU0363MK01";0;0;0;0;0;0;;;;;;;;;;;;;;
"Pampusbuurt-West";"Amsterdam                               ";"BU0363MK02";0;0;0;0;0;0;;;;;;;;;;;;;;
"Pampusbuurt-Oost";"Amsterdam                               ";"BU0363MK03";0;0;0;0;0;0;;;;;;;;;;;;;;
"Centrumeiland";"Amsterdam                               ";"BU0363MK04";1130;250;115;505;210;40;2,2;639;5;68;32;;;;;;;;;3
"Muidenbuurt-West";"Amsterdam                               ";"BU0363MK05";0;0;0;0;0;0;;;;;;;;;;;;;;
"IJburg-Zuid";"Amsterdam                               ";"WK0363ML  ";8490;1960;1260;2540;2335;395;2,4;624;3;43;57;;;;;;;;;2
"Havenkwartier IJburg";"Amsterdam                               ";"BU0363ML01";2145;355;270;915;440;160;2;450;4;24;76;;;;;;;;;2
"Theo van Goghparkbuurt";"Amsterdam                               ";"BU0363ML02";6035;1520;930;1600;1750;235;2,6;667;3;50;50;;;;;;;;;2
"Rieteiland-Oost";"Amsterdam                               ";"BU0363ML03";315;85;60;25;140;5;3,5;1682;3;97;3;;;;;;;;;2
