"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Frederik Hendrikbuurt";"Amsterdam                               ";"WK0363EJ  ";4040;49,6;44,1;39,1;49,4;16,9;11,1;19,7
"Frederik Hendrikbuurt-Noord";"Amsterdam                               ";"BU0363EJ01";1860;48,2;42,3;;49,7;16,7;10,6;19,1
"Frederik Hendrikbuurt-Zuidwest";"Amsterdam                               ";"BU0363EJ02";560;;;;44,9;19,2;8,3;17,7
"Frederik Hendrikbuurt-Zuidoost";"Amsterdam                               ";"BU0363EJ03";1560;51,4;46,2;;50,7;16,4;12,7;21
"Van Galenbuurt";"Amsterdam                               ";"WK0363EK  ";2530;39,7;34,4;33,4;57;11,5;13,4;25,3
"Mercatorpark";"Amsterdam                               ";"BU0363EK01";;;;;;;;
"Orteliusbuurt-Noord";"Amsterdam                               ";"BU0363EK02";480;;;;51,9;12,7;12,9;23,7
"Jan Maijenbuurt";"Amsterdam                               ";"BU0363EK03";940;;;;58,6;11,2;15;27,7
"John Franklinbuurt";"Amsterdam                               ";"BU0363EK04";730;;;;58,8;11,1;11,8;23,6
"Geuzenbuurt";"Amsterdam                               ";"WK0363EL  ";3800;48,8;42,3;38,8;47;18,5;8,8;15,9
"Pieter van der Doesbuurt";"Amsterdam                               ";"BU0363EL01";990;;;;55,9;13,6;13,5;24,3
"Trompbuurt";"Amsterdam                               ";"BU0363EL02";1650;50,9;43,4;;45,1;21,7;7,6;14,3
"Geuzenhofbuurt";"Amsterdam                               ";"BU0363EL03";1120;;;;41,3;18,3;6,2;10,2
"Hoofdweg e.o.";"Amsterdam                               ";"WK0363EM  ";4220;42,1;36,4;35,5;53,3;13,7;11,7;21,6
"Orteliusbuurt-Midden";"Amsterdam                               ";"BU0363EM01";890;;;;49,7;15,5;10,6;19
"Balboaplein e.o.";"Amsterdam                               ";"BU0363EM02";1160;40,6;35;;53;13,3;11,6;20,9
"Orteliusbuurt-Zuid";"Amsterdam                               ";"BU0363EM03";970;;;;50,6;15,3;9,5;19,4
"Columbusplein e.o.";"Amsterdam                               ";"BU0363EM04";1180;39,4;33,5;;57,1;12,1;13,6;24,9
"Chassébuurt";"Amsterdam                               ";"WK0363EN  ";2840;44,8;37,4;37,4;49;18,5;10,3;20,2
"Filips van Almondekwartier";"Amsterdam                               ";"BU0363EN01";630;;;;49,2;23,2;7,6;16,9
"Kortenaerkwartier";"Amsterdam                               ";"BU0363EN02";1020;;;;46,4;19,9;9,4;18,2
"Van Brakelkwartier";"Amsterdam                               ";"BU0363EN03";370;;;;52,3;13,2;12;23,4
"De Wester Quartier";"Amsterdam                               ";"BU0363EN04";750;;;;50,4;16,3;12,4;23,2
"Bellamybuurt";"Amsterdam                               ";"WK0363EP  ";3320;51,1;44,6;39,3;49,6;17,6;9,2;16,8
"Bellamybuurt-Noord";"Amsterdam                               ";"BU0363EP01";1000;;;;50,2;17,6;10;19,1
"Bellamybuurt-Zuid";"Amsterdam                               ";"BU0363EP02";2280;52,4;46,2;;49,2;17,6;8,7;15,5
