"ID";"DistrictsAndNeighbourhoods";"MunicipalityName";"Encoding";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes"
"1287";"BU03636400";"Amsterdam                               ";"BU03636400";"     0.0";"     2.4";"     1.4";"     2.6";"     4.4";"     1.0";"     0.5";"     5.0"
"1288";"BU03636401";"Amsterdam                               ";"BU03636401";"     0.0";"     1.3";"     0.6";"     0.9";"     2.7";"     1.0";"     1.0";"     4.9"
"1289";"BU03636402";"Amsterdam                               ";"BU03636402";"     0.4";"    11.7";"     2.8";"     4.2";"     8.2";"     0.7";"     0.6";"     5.0"
"1290";"BU03636403";"Amsterdam                               ";"BU03636403";"     1.0";"    10.8";"     2.1";"     1.7";"     5.6";"     1.0";"     1.4";"     5.9"
"1291";"BU03636404";"Amsterdam                               ";"BU03636404";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1292";"WK036365  ";"Amsterdam                               ";"WK036365  ";"     0.6";"     6.4";"     0.4";"     1.7";"     3.1";"     0.6";"     1.6";"     6.0"
"1293";"BU03636500";"Amsterdam                               ";"BU03636500";"     0.0";"     5.6";"     0.0";"     2.8";"     2.8";"     0.9";"     0.6";"     5.8"
"1294";"BU03636501";"Amsterdam                               ";"BU03636501";"     0.4";"    12.8";"     0.0";"     2.5";"     5.2";"     0.4";"     1.2";"     6.2"
"1295";"BU03636502";"Amsterdam                               ";"BU03636502";"     0.6";"     3.3";"     0.9";"     1.5";"     3.1";"     0.9";"     1.9";"     5.8"
"1296";"BU03636503";"Amsterdam                               ";"BU03636503";"     1.0";"     1.0";"     0.2";"     0.0";"     0.0";"     0.3";"     2.1";"     5.8"
"1297";"WK036366  ";"Amsterdam                               ";"WK036366  ";"     1.6";"     4.5";"     0.1";"     1.9";"     0.8";"     0.7";"     1.2";"     6.3"
"1298";"BU03636601";"Amsterdam                               ";"BU03636601";"     0.9";"    11.3";"     0.3";"     2.9";"     4.0";"     0.5";"     1.1";"     6.3"
"1299";"BU03636602";"Amsterdam                               ";"BU03636602";"     1.1";"     3.0";"     0.0";"     1.7";"     0.3";"     0.6";"     1.0";"     6.2"
"1300";"BU03636603";"Amsterdam                               ";"BU03636603";"     2.4";"     5.5";"     0.2";"     2.8";"     1.0";"     0.6";"     1.5";"     6.7"
