BUURTCODE_2022,BUURTNAAM_2022,WIJKNAAM_2022,STADSDEELNAAM,buurt_area_m2,distance_to_nearest_green_m_2020,distance_to_nearest_green_m_2024,distance_change_m,nearest_green_name_2020,nearest_green_type_2020,nearest_green_area_m2_2020,nearest_green_name_2024,nearest_green_type_2024,nearest_green_area_m2_2024,total_green_area_m2_2020,total_green_area_m2_2024,green_coverage_percent_2020,green_coverage_percent_2024,coverage_change_percent,num_green_spaces_2020,num_green_spaces_2024
FB01,Osdorper Binnenpolder,Geuzenveld,Nieuw-West,2100546.9,42.8,42.5,-0.2999999999999971,Unnamed,forest,375.19,Unnamed,forest,333.1,509812.51,542070.97,24.27,25.81,1.5399999999999991,91,152
FB02,De Eendracht,Geuzenveld,Nieuw-West,320959.75,234.11,215.04,-19.07000000000002,Unnamed,forest,1485.98,Unnamed,forest,414.99,16084.6,16724.17,5.01,5.21,0.2000000000000001,15,19
FF02,Ookmeer,Lutkemeer/Ookmeer,Nieuw-West,725417.45,54.91,56.92,2.010000000000005,Unnamed,forest,6925.02,Unnamed,forest,6580.76,86646.12,81427.18,11.94,11.22,-0.7199999999999989,38,37
FF01,Osdorper Bovenpolder,Lutkemeer/Ookmeer,Nieuw-West,2602969.78,67.16,55.78,-11.379999999999995,Unnamed,forest,147.46,Unnamed,forest,158.08,20219.49,15864.29,0.78,0.61,-0.17,6,26
FF03,Bedrijvenpark Lutkemeer,Lutkemeer/Ookmeer,Nieuw-West,2359012.18,323.79,55.62,-268.17,Unnamed,forest,54814.57,Unnamed,forest,671.23,177306.29,213401.12,7.52,9.05,1.5300000000000011,60,113
FK01,Wildeman,Osdorp-Oost,Nieuw-West,330009.63,305.1,305.1,0.0,Unnamed,forest,6029.87,Unnamed,forest,6029.87,6029.87,6029.87,1.83,1.83,0.0,1,1
FK02,Meer en Oever,Osdorp-Oost,Nieuw-West,233514.9,164.68,60.22,-104.46,Unnamed,forest,1638.33,Unnamed,forest,14.35,9479.81,23048.84,4.06,9.87,5.81,6,48
FK03,Osdorpplein e.o.,Osdorp-Oost,Nieuw-West,412389.68,186.75,143.74,-43.00999999999999,Unnamed,forest,794.84,Unnamed,forest,14.7,75646.75,77984.08,18.34,18.91,0.5700000000000003,6,8
FK04,Calandlaan/Lelylaan,Osdorp-Oost,Nieuw-West,275414.22,51.24,53.71,2.469999999999999,Dwaze Moedersplein,park,6126.08,Dwaze Moeders plein,park,4723.11,93739.12,106953.35,34.04,38.83,4.789999999999999,19,33
FK05,Osdorp-Zuidoost,Osdorp-Oost,Nieuw-West,519322.22,264.48,133.47,-131.01000000000002,Unnamed,forest,294.28,Unnamed,forest,669.95,109354.12,114212.15,21.06,21.99,0.9299999999999996,25,32
FJ01,Reimerswaal,Osdorp-Midden,Nieuw-West,215532.68,195.5,195.5,0.0,Unnamed,forest,7977.36,Unnamed,forest,7977.36,8862.65,20820.54,4.11,9.66,5.55,3,2
FJ02,Botteskerkbuurt,Osdorp-Midden,Nieuw-West,258389.2,105.37,105.37,0.0,Unnamed,forest,732.07,Unnamed,forest,732.07,55074.76,54796.39,21.31,21.21,-0.0999999999999978,8,7
FJ03,Zuidwestkwadrant-Noord,Osdorp-Midden,Nieuw-West,240736.46,267.49,25.87,-241.62,Stadspark Osdorp,park,58304.83,Unnamed,forest,730.21,53025.43,53761.29,22.03,22.33,0.2999999999999971,4,8
FJ04,Zuidwestkwadrant-Zuid,Osdorp-Midden,Nieuw-West,402278.11,231.85,231.64,-0.2100000000000079,Jan van Zutphenplantsoen,park,36052.71,Jan van Zutphenplantsoen,park,35932.56,73102.5,72748.36,18.17,18.08,-0.0900000000000034,11,11
FH02,Dijkgraafpleinbuurt,De Punt,Nieuw-West,481656.71,201.22,204.65,3.430000000000007,Unnamed,forest,3064.08,Unnamed,forest,2431.84,27204.69,25145.16,5.65,5.22,-0.4300000000000006,17,18
FH01,Bedrijvencentrum Osdorp,De Punt,Nieuw-West,117974.57,141.4,141.4,0.0,Unnamed,forest,3535.19,Unnamed,forest,3535.19,13376.95,24355.58,11.34,20.64,9.3,2,3
